Source Region ID,Capture Time,Position in Source Image X,Position in Source Image Y,Size in Source Image X,Size in Source Image Y,Identified as a worm by human,Identified as a worm by machine,Identified as an incorrectly thresholded worm,Identified as an incorrectly disambiguated multiple worm group,Identified as a small larvae,pixel_area,bitmap_width,bitmap_height,bitmap_diagonal,spine_length,distance_between_ends,width_average,width_max,width_min,width_variance,width_at_center,width_at_end_0,width_at_end_1,spine_length_to_area,spine_length_to_bitmap_width_ratio,spine_length_to_bitmap_height_ratio,spine_length_to_bitmap_diagonal_ratio,spine_length_to_max_width_ratio,spine_length_to_average_width,end_width_to_middle_width_ratio_0,end_width_to_middle_width_ratio_1,end_width_ratio,curvature_average,curvature_maximum,curvature_total,curvature_variance,curvature_x_intercepts,intensity_rel_average,intensity_rel_variance,intensity_rel_skew,intensity_rel_maximum,intensity_rel_spine_average,intensity_rel_spine_variance,intensity_rel_roughness_entropy,intensity_rel_roughness_spatial_var,intensity_rel_dark_avg,intensity_rel_dark_area,intensity_rel_neighborhood,intensity_rel_dist_from_neighborhood,intensity_rel_containing_image_average,intensity_rel_normalized_average,intensity_rel_normalized_max,intensity_rel_normalized_spine_average,intensity_abs_average,intensity_abs_variance,intensity_abs_skew,intensity_abs_maximum,intensity_abs_spine_average,intensity_abs_spine_variance,intensity_abs_roughness_entropy,intensity_abs_roughness_spatial_var,intensity_abs_dark_avg,intensity_abs_dark_area,intensity_abs_neighborhood,intensity_abs_dist_from_neighborhood,intensity_abs_containing_image_average,intensity_abs_normalized_average,intensity_abs_normalized_max,intensity_abs_normalized_spine_average,edge_area,edge_object_area_ratio,intensity_profile_edge,intensity_profile_center,intensity_profile_max,intensity_profile_variance,Experiment Name,Plate Name,Device,Strain,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,time spent included,time_spent_excluded,average_time,excluded by visual inspection,overlap with path match,Age (days),Stationary Worm ID,Movement State
53869,1423903330,1122,810,100,97,0,0,0,0,0,2788,100,97,139.316,153.162,86.4911,15.7668,21.0223,5.24676,30.0822,5.9911,14.9616,15.5986,0.0549362,1.53162,1.57899,1.09939,7.2857,9.71422,2.4973,2.60363,0.959163,0.411952,0.956585,66.7362,2.20727,2,42,367.293,0.426379,181.818,35.3778,-260.676,4.30425,17.96,17.7181,0,1.43846,40.5615,0,0,-181.818,0,150,383.387,-0.349361,101.891,35.3778,-14756.2,4.32264,-18.0378,175.151,0,198.918,-48.9179,0,0,101.891,0,386,0.138451,9.3668,58.25,58.25,141.02,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,1422000,567929,yes,10500,0.654282,54,Dead
53869,1423903330,3723,1637,119,50,0,0,0,0,0,1832,119,50,129.077,106.47,84.3356,12.7612,19.0929,10.3201,5.85162,13.885,16.2041,14.1536,0.0581169,0.894707,2.1294,0.824855,5.57643,8.34327,1.16703,1.01935,1.14487,0.353711,0.610074,39.6156,1.47051,2,44,309.539,0.428435,168.667,51.9268,-66.0132,4.17095,12.2026,21.2514,0,2.70185,41.2981,0,0,-168.667,0,126,343.336,0.7623,98.4167,51.9268,-3151.88,4.20739,-13.2182,155.306,0,179.286,-53.2856,0,0,98.4167,0,262,0.143013,9.13927,43,48.6166,161.929,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,500400,0,567929,no,294,0.654282,24,Fast
53869,1423903330,2524,1652,53,130,0,0,0,0,0,2307,53,130,140.389,125.194,107.615,15.3451,17.0351,13.7139,0.982987,17.8523,14.2072,15.4212,0.0542672,2.36216,0.963034,0.89177,7.3492,8.15859,0.795821,0.863823,0.921277,0.275,0.936925,36.3,0.935511,4,48,398.909,0.201264,182.174,60.1515,-186.951,4.28451,10.3409,21.692,0,1.21272,46.7873,0,0,-182.174,0,146,427.716,-0.0561387,105.522,60.1515,-4365.26,4.34381,-10.4428,174.334,0,198.183,-52.183,0,0,105.522,0,308,0.133507,7.91014,82.2727,82.2727,647.714,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,3522,1682,64,97,0,0,0,0,0,1552,64,97,116.211,99.7201,83.1689,13.2294,14.7288,11.0918,1.11545,14.2996,14.559,13.9702,0.0642526,1.55813,1.02804,0.858095,6.77041,7.53776,1.01814,0.976964,1.04215,0.316565,0.807692,31.9731,1.53505,3,28,142.123,1.21757,153.129,32.4706,-217.204,3.70386,7.2355,15.4839,0,1.95399,26.046,0,0,-153.129,0,129,193.451,-0.580601,93.9677,32.4706,-6835.78,3.94172,-7.61985,146.145,0,170.17,-41.1697,0,0,93.9677,0,251,0.161727,5.16331,58,58,226.555,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,2998,1666,116,52,0,0,0,0,0,1687,116,52,127.122,109.347,93.9483,12.3846,17.073,10.2107,3.61542,18.0189,11.621,14.0455,0.0648172,0.942644,2.10282,0.860171,6.40465,8.82924,0.644933,0.779486,0.827382,0.254075,0.483659,30.235,0.773449,2,32,166.888,0.574541,146.97,44.1111,-15.8215,3.87328,8.08122,16.3947,0,3.58883,28.4112,0,0,-146.97,0,121,244.578,-0.29807,84.2727,44.1111,-4014.66,4.09126,-8.46383,141.297,0,166.645,-45.6453,0,0,84.2727,0,254,0.150563,5.84221,22,37.0579,158.039,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,608400,0,567929,no,792,0.654282,18,Fast
53869,1423903330,3841,1693,99,52,0,0,0,0,0,1654,99,52,111.826,103.456,85.807,14.9171,17.0851,12.5795,2.28203,17.9252,12.5807,12.1302,0.0625489,1.04501,1.98954,0.925152,6.05532,6.93538,0.701843,0.676711,1.03714,0.306032,0.847004,33.0514,1.3185,3,48,622.698,0.558245,162.333,82.2,-548.224,4.33791,12.8581,19.5727,0,3.08026,44.9197,0,0,-162.333,0,121,551.826,-0.257662,74.303,82.2,-659.542,4.39214,-13.6586,150.094,0,174.79,-53.7902,0,0,74.303,0,245,0.148126,9.39494,60,60,225.569,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,3076,1742,87,35,0,0,0,0,0,1651,87,35,93.7763,69.7904,65.9579,14.9977,20.5053,12.5015,6.63691,17.7703,13.2492,24.5002,0.0422716,0.802189,1.99401,0.744222,3.40353,4.65341,0.745583,1.37872,0.540779,0.37836,2.15876,27.6203,3.43503,2,35,216.074,0.367809,154.394,38.1765,-88.6467,3.96693,7.14229,16.5273,0,3.22552,31.7745,0,0,-154.394,0,124,267.746,-0.149702,90.9091,38.1765,-5642.14,4.10127,-7.73005,145.936,0,168.393,-44.3934,0,0,90.9091,0,218,0.132041,9.67578,28.5714,42.5674,100.54,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,3329,1802,64,102,0,0,0,0,0,1750,64,102,120.416,93.3292,87.7476,15.2532,19.4792,13.4532,2.65905,17.7509,15.5906,13.5567,0.053331,1.45827,0.914992,0.775057,4.79122,6.11866,0.8783,0.76372,1.15003,0.273087,0.712747,26.7626,0.956414,7,31,190.28,0.651756,163,38.9048,-52.831,3.88962,6.22757,14.9229,0,1.69577,29.3042,0,0,-163,0,138,221.855,-0.333186,105.4,38.9048,-7167.4,3.99816,-6.75436,156.814,0,182.742,-44.7419,0,0,105.4,0,241,0.137714,5.42982,31.8333,40.0194,137.168,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,3981,1850,47,107,0,0,0,0,0,1593,47,107,116.867,112.84,88.6376,13.8757,17.2861,10.8807,4.00282,14.1677,9.74157,14.001,0.0708351,2.40086,1.05458,0.965542,6.52781,8.13223,0.687591,0.988234,0.695777,0.284637,1.13297,34.441,1.11723,4,29,106.938,0.428031,145.581,28.4118,-176.154,3.61796,7.61478,16.3428,0,4.01682,24.9832,0,0,-145.581,0,127,113.505,0.116069,105.968,28.4118,-7674.92,3.72132,-7.66689,142.261,0,161.078,-34.0779,0,0,105.968,0,269,0.168864,8.14006,27,37.8903,87.4028,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
53869,1423903330,4063,1884,84,31,0,0,0,0,0,1091,84,31,89.5377,78.6222,73.841,13.7216,17.1555,8.60178,7.76841,16.0036,14.8979,7.52741,0.0720644,0.935979,2.5362,0.878091,4.58292,5.72982,0.93091,0.470358,1.97915,0.316095,0.701834,25.9198,1.01174,2,29,164.23,0.776553,135.095,38.6389,-65.6415,3.81091,7.35342,14.5596,0,2.88454,26.1155,0,0,-135.095,0,114,214.952,-0.273885,83.619,38.6389,-4252.84,3.98299,-7.82022,132.72,0,161.148,-47.1475,0,0,83.619,0,192,0.175985,7.9761,28.6667,31.9,84.077,2015_02_13_four_temp_scaling,moose_a::1,moose,,27,,,,27,,,0,0,567929,no,0,0.654282,0,Fast
